protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,05h_A,1h_A,2h_A,4h_A,8h_A,12h_A,0h_B,05h_B,1h_B,2h_B,4h_B,8h_B,12h_B,0h_C,05h_C,1h_C,2h_C,4h_C,8h_C,12h_C
Tb04.24M18.150,,,,,,,,none,,Tb04.24M18.150,"hypothetical protein, conserved",0,GO:0005739|mitochondrion,,0.798931738,,0.483426121,0.42064752,,,,,,0.611399672,,,,,,,,,,
Tb927.5.4450,0.992687039,,6.747619871,,5.21E-09,,4.636558312,3,0.045656479,Tb927.5.4450;Tb05.5K5.100,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,,0.921368034,0.72037667,0.830568429,0.665113488,0.429747551,0.170499114,,0.922198119,,0.756270109,0.618335382,0.369339892,0.15765995,,,,0.734279822,0.54640345,0.311115963,0.116053876
Tb927.5.4460,0.990636086,,8.566438382,,3.55E-12,,5.8972672,6,0.023627853,Tb927.5.4460;Tb05.5K5.110,"major vault protein, putative;major vault protein, putative",1,GO:0005737|cytoplasm,0.963234237,0.90585019,0.884178013,0.813064776,0.644686935,0.381774122,0.24372682,0.943307332,0.933602013,0.896085095,0.829530954,0.630972538,0.38647626,0.227200994,0.931519546,0.924008492,0.876607472,0.79522776,0.642654817,0.39516911,0.212608096
Tb927.5.4470,0.980738435,0.160579719,8.548921709,3.146885629,0.01249686,0.192239969,5.994008481,7,0.035822327,Tb927.5.4470;Tb05.5K5.120,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0035869|ciliary transition zone; GO:0005929|cilium,,0.82635923,0.85714259,0.796103181,0.560329651,0.401305029,0.330976975,,0.872279944,0.883049065,0.788914997,0.611829627,0.386643374,0.252725852,,0.899392324,0.843846818,0.789908765,0.583053313,0.394115457,0.287123002
Tb927.5.4480,1.116909515,,8.722770785,,1.40E-11,,6.005628565,7,0.053940768,Tb927.5.4480;Tb05.5K5.130,"paraflagellar rod component par4, putative;paraflagellar rod component par4, putative",1,none,1.0082861,0.995068759,0.944231756,0.888709458,0.700682397,0.446653951,0.270178623,1.024706152,0.953289534,0.962790393,0.891039826,0.713562122,0.433284024,0.276344218,0.989257159,0.976795866,0.951931726,0.890329339,0.721817052,0.43629091,0.268574583
Tb927.5.4500,0.976312957,,10.34642233,,2.67E-09,,7.131058084,10,0.064421471,Tb927.5.4500;Tb05.5K5.150,"ras-like small GTPase, putative;small GTP-binding protein, putative",1,GO:0005622|intracellular; GO:0006886|intracellular protein transport; GO:0005525|GTP binding,0.961125785,0.966671539,0.913477224,0.899508838,0.737964241,0.389475075,0.214307451,0.956723188,0.995396128,0.96754695,0.879176341,0.732218735,0.390879895,0.215825329,0.957986759,1.007129612,0.938790067,0.881300734,0.733299884,0.396482647,0.22741583
Tb927.5.4520,0.924809261,,7.902807397,,1.65E-10,,5.437273255,none,0.104288184,Tb927.5.4520;Tb05.5K5.160,"Kinetochore interacting protein 1;hypothetical protein, conserved",0,GO:0005634|nucleus; GO:0005819|spindle; GO:0000922|spindle pole; GO:0000776|kinetochore; GO:0005737|cytoplasm,0.933933269,0.932270774,0.824242208,0.387043492,0.610087007,0.354163834,0.181698393,0.914889156,0.875167253,0.764365645,0.372935377,0.741131384,0.325966691,0.199157672,0.926569342,0.82948878,0.830918459,0.617440505,0.604554279,0.330367899,0.205721999
Tb927.5.4560,1.09842599,,8.505338483,,6.22E-10,,5.854915982,6,0.036739301,Tb927.5.4560;Tb11.v5.0409;Tb05.5K5.200,"guanine deaminase, putative;guanine deaminase, putative;guanine deaminase, putative",1,"GO:0005737|cytoplasm; GO:0006147|guanine catabolic process; GO:0016810|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0097014|ciliary plasm; GO:0008270|zinc ion binding; GO:0008892|guanine deaminase activity; GO:0005654|nucleoplasm; GO:0020015|glycosome; GO:0016787|hydrolase activity",1.02249915,1.00405128,0.963163922,0.887864739,0.711681499,0.428671095,0.273886633,1.013834745,1.013113146,0.963656967,0.882691726,0.716745775,0.439632785,0.257113886,0.999556702,1.006634244,0.974260205,0.874657822,0.715026217,0.438031818,0.259728207
Tb05.5K5.210,0.89759209,0.027933456,4.975799178,0.689092656,0.089934326,0.030723548,3.927583081,2,0.023332738,Tb05.5K5.210;Tb927.5.4570,hypothetical protein;Flagellum adhesion protein 3,1,none,0.958895209,0.929456744,0.823279246,0.636169681,0.486941149,0.317685089,0.193614742,1.009553995,0.899799959,0.833606179,0.677115929,0.456469905,0.297632323,0.171938939,0.923597447,0.90976592,0.866752559,0.658100579,0.456817621,0.293571891,0.16523228
Tb927.5.4580,,,,,,,,none,,Tb927.5.4580;Tb05.5K5.220,Flagellum adhesion protein 3;hypothetical protein,0,none,,,,,,,,,,,,,,,,,,,,,
Tb927.5.4600,,,,,,,,none,,Tb927.5.4600;Tb11.v5.0367;Tb05.5K5.240,"expression site-associated gene 3 (ESAG3) protein, putative;expression site-associated gene (ESAG) protein, putative;expression site-associated gene 3 (ESAG3) protein, putative",0,none,,,,,,,,,0.81866266,,,,,,,,,0.394172565,,,
Tb927.5.4380,0.969868226,,9.049092546,,2.19E-11,,6.231817573,8,0.029222412,Tb927.5.4380;Tb05.5K5.30,"Kinetoplastid-specific Protein Phosphatase 1;serine/threonine protein phosphatase, putative",1,GO:0036064|ciliary basal body; GO:0016791|phosphatase activity; GO:0031981|nuclear lumen; GO:0005829|cytosol; GO:0030990|intraciliary transport particle; GO:0000910|cytokinesis; GO:0006470|protein dephosphorylation; GO:0003677|DNA binding; GO:0016787|hydrolase activity; GO:0097014|ciliary plasm; GO:0004722|protein serine/threonine phosphatase activity; GO:0005737|cytoplasm,0.960117331,0.898478205,0.900474509,0.83478022,0.654779623,0.394631204,0.243783972,0.960511316,0.926599963,0.93889949,0.821273953,0.632238567,0.367535498,0.252728346,0.947409824,0.962253398,0.905299831,0.806182931,0.679687374,0.385117767,0.230094654
Tb927.5.4390,1.059223458,,9.331369923,,5.65E-10,,6.427477346,8,0.037349547,Tb927.5.4390;Tb05.5K5.40,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,1.004028865,0.965614307,0.934488688,0.834124871,0.698645623,0.408791285,0.247701503,1.025781078,0.972911689,0.944414564,0.864542667,0.703744779,0.40537525,0.236404938,1.000563313,1.004458028,0.93280176,0.847536926,0.700180367,0.389144458,0.220566411
